path,role,category,profile,format,bytes,width,height,sha256,status
assets/backgrounds/bg_crisis_scene_v1.png,source,background,,png,2371598,1536,1024,13fe380cc173ca29873b6e86de46b5d75b8570c5788349680318dbcd7a586ad0,source-preserved
assets/backgrounds/bg_dashboard_city_view_v1.png,source,background,,png,2357950,1536,1024,29c24844333edc85e4c94e9a995a42cddc109f8d76f54d3a855f5b1ef5a45d2f,source-preserved
assets/backgrounds/bg_diplomacy_room_v1.png,source,background,,png,2461989,1536,1024,498fdd914d6f2b059bd861897e237172997d88b62f9332a0146e137332416c15,source-preserved
assets/backgrounds/bg_economy_financial_center_v1.png,source,background,,png,2670357,1536,1024,a303e99e85206bed7c1f3621825446ae763fb324a46c6eb7fa3997f589fb8d76,source-preserved
assets/backgrounds/bg_election_room_v1.png,source,background,,png,2297188,1536,1024,dee213c78188dab239628291f2fddf20ff8d6e62c54f5d08df19639ad8be5360,source-preserved
assets/backgrounds/bg_global_map_v1.png,source,background,,png,2388350,1536,1024,6928a8d4ce913551c30b281379b51bc4e4a644607a29056e9efb79b08432c5a3,source-preserved
assets/backgrounds/bg_main_menu_presidential_office_v1.png,source,background,,png,2556637,1536,1024,7a566285f31ea2a83086bc5df778f751267db80ab52808244b88a3867a6200fd,source-preserved
assets/backgrounds/bg_military_command_center_v1.png,source,background,,png,2465183,1536,1024,a123ec38b7da4ab8e4167806b71e045b60521d833d5cd06c56cf584b3107b2df,source-preserved
assets/backgrounds/bg_parliament_v1.png,source,background,,png,2556426,1536,1024,c756e54a6066dc2ae0471f0b7c0ca850315214f32ae984454e7ccc031421c0d4,source-preserved
assets/backgrounds/bg_press_conference_stage_v1.png,source,background,,png,2171555,1536,1024,a8aa376e48c2f79d6ef1cca4eae4e6bcccb141609e7ac2cb2f5664cd8e1ec0ed,source-preserved
assets/characters/char_leader_latest_v1.png,source,character,,png,1829589,1254,1254,c613cb67ec53e458a2f1e2605ce950ffae3f578caf319b10be6c833846b70d65,source-preserved
assets/characters/char_leader_male_black_v1.png,source,character,,png,1928388,1254,1254,0685ccf08e24a29b19533fd2fbcda88f8635d580c40b600dc0fb19b1732adbb4,source-preserved
assets/characters/char_leader_male_elder_refined_v1.png,source,character,,png,1913971,1536,1024,43b8dae323f42b9a68aa518dbec80f773dc3598466c032a1cf5d61cd359990f5,source-preserved
assets/characters/char_leader_male_elder_v1.png,source,character,,png,2062346,1254,1254,ac4c0c49452b4f45ba225c2d1839654f885a53c1b62c96e02973014495a11dc0,source-preserved
assets/characters/char_leader_male_white_v1.png,source,character,,png,1993133,1254,1254,07e56b6d31fc34ea2e5d9da3921f747892747489c275bdc5292ddd46eef4299c,source-preserved
assets/icons/icon_set_v1.png,source,icon,,png,1799882,1921,819,8f8ba7021bae0e490d5680dff762512c5dbddc539a2d6571811ab42576c13d06,source-preserved
assets/pwa/apple-touch-icon-180.png,pwa,pwa,install,png,2826,180,180,ee7c6bfef6fa5cc87e072093a25cba73f52f12a911f77654003255cffdef6b3f,pwa-generated
assets/pwa/icon-128.png,pwa,pwa,install,png,1872,128,128,2c84649e4d9bacab849e0c176a43e479f5eea7943e8ddc3375becd3a7da0f05a,pwa-generated
assets/pwa/icon-192.png,pwa,pwa,install,png,3056,192,192,6acd421a7ff8f669de910740ce365c282d39ba8aa8ce16ddec048a2c35371533,pwa-generated
assets/pwa/icon-256.png,pwa,pwa,install,png,4265,256,256,4f960520c11b6e2cb1f206224486184f2463c8262b0ed4848cbabe3a783d0e37,pwa-generated
assets/pwa/icon-384.png,pwa,pwa,install,png,7571,384,384,1e66dc72a6aa9a1cae7255ef5d95c825975c4fe084408218bed2ecec6738dd73,pwa-generated
assets/pwa/icon-512.png,pwa,pwa,install,png,11528,512,512,0fa1397b4ea1d2a00050801046e51f1c170b9fbdefea1ce5943f7e65acda4f30,pwa-generated
assets/pwa/icon-64.png,pwa,pwa,install,png,967,64,64,9688bb41bf947260e5ccb280c4aecd71cf96d37f4ea30de376bfbae368fa00f8,pwa-generated
assets/pwa/icon-96.png,pwa,pwa,install,png,1374,96,96,c1b1b26348f6345f3667a70537825301f653cad7568bb9efc00b1ce1979b37fa,pwa-generated
assets/pwa/icon-maskable-512.png,pwa,pwa,install,png,11415,512,512,d79dc3055535e34d64438bd2720e55dd559d607640d18aef8810b546648fde18,pwa-generated
assets/pwa/screenshot-desktop-1280x720.png,pwa,pwa,install,png,55589,1280,720,8b9fdddc44a1c15a8a248c44fc652bd9fee57d873703c1c807efae33b3b4cb0e,pwa-generated
assets/pwa/screenshot-mobile-720x1280.png,pwa,pwa,install,png,63500,720,1280,dfed3ba8a2750d0317b44512a462822b87be82c790403cedf39b7c59a74dd4bc,pwa-generated
assets/pwa/splash-1170x2532.png,pwa,pwa,install,png,136430,1170,2532,1e9967561695650ecfe4aba63baa28f3d54b7caf9a2f669e38a57d254e139999,pwa-generated
assets/pwa/splash-1290x2796.png,pwa,pwa,install,png,166159,1290,2796,8e74060f1e49f34bab7dd9ba4635cc9dbfae952b5d1d96e67ea6e6fc421c5dfa,pwa-generated
assets/pwa/splash-1536x2048.png,pwa,pwa,install,png,158446,1536,2048,c66f6b0a6b2d714252cf446f7c808bea9b7db8c71150d6837c78cb8e6b6af667,pwa-generated
assets/pwa/splash-2048x1536.png,pwa,pwa,install,png,153931,2048,1536,056b6b90b88c400879d6463d1896da18d7b811aae39f1ce51871b94b73977935,pwa-generated
assets/pwa/splash-750x1334.png,pwa,pwa,install,png,69115,750,1334,71d69a3b700402cab39a6b8e95d0d56473c097ce7975832e4550853f5f4b81d4,pwa-generated
